,repo_id,pr_src_id,repo_name,pr_src_author_association,repo_group,pr_src_state,pr_created_at,pr_closed_at,created_year,created_month,closed_year,closed_month,pr_src_meta_label,pr_head_or_base,hours_to_close,days_to_close,hours_to_first_response,days_to_first_response,hours_to_last_response,days_to_last_response,first_response_time,last_response_time,average_time_between_responses,assigned_count,review_requested_count,labeled_count,subscribed_count,mentioned_count,referenced_count,closed_count,head_ref_force_pushed_count,merged_count,milestoned_count,unlabeled_count,head_ref_deleted_count,comment_count,lines_added,lines_removed,commit_count,file_count,average_days_between_responses,average_hours_between_responses,created_yearmonth,closed_yearmonth,merged_flag,percentile_rank_local
50,25448,355401820,grimoirelab,MEMBER,chaoss,closed,2019-12-19 22:38:43,2020-01-25 10:01:08,2019,12,2020,1.0,chaoss:master,base,875.3736111111111,36.473900462962966,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2019-12-01 00:00:00,2020-01-01 00:00:00,Merged / Accepted,0.9259259259259259
51,25448,355402007,grimoirelab,MEMBER,chaoss,closed,2019-12-19 22:39:01,2020-01-25 10:00:57,2019,12,2020,1.0,,,875.3655555555556,36.473564814814814,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-01 00:00:00,2020-01-01 00:00:00,Merged / Accepted,0.9074074074074074
110,25448,334530507,grimoirelab,MEMBER,chaoss,closed,2019-10-30 21:37:16,2019-12-16 06:57:23,2019,10,2019,12.0,chaoss:master,base,1113.3352777777777,46.38896990740741,779.2511111111111,32.4687962962963,948.2777777777778,39.511574074074076,2019-12-02 08:52:20,2019-12-09 09:53:56,0 days 09:23:25.333333000,0.0,18.0,0.0,90.0,90.0,72.0,18.0,18.0,18.0,0.0,0.0,0.0,18.0,,,3.0,,0.0,0.0,2019-10-01 00:00:00,2019-12-01 00:00:00,Merged / Accepted,0.9444444444444444
111,25448,422295469,grimoirelab,MEMBER,chaoss,closed,2020-05-23 16:21:46,2020-06-03 21:00:21,2020,05,2020,6.0,chaoss:master,base,268.6430555555556,11.193460648148148,0.03194444444444444,0.0013310185185185185,268.64,11.193333333333333,2020-05-23 16:23:41,2020-06-03 21:00:10,1 days 20:46:04.833333000,0.0,6.0,0.0,42.0,42.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,6.0,,,1.0,,1.0,24.0,2020-05-01 00:00:00,2020-06-01 00:00:00,Merged / Accepted,0.8333333333333334
131,25448,493156462,grimoirelab,CONTRIBUTOR,chaoss,closed,2020-09-25 15:41:15,2020-10-07 18:08:10,2020,09,2020,10.0,chaoss:master,base,290.4486111111111,12.102025462962963,287.54777777777775,11.981157407407407,287.54777777777775,11.981157407407407,2020-10-07 15:14:07,2020-10-07 15:14:07,0 days 00:00:00.000000000,0.0,0.0,0.0,2.0,2.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,27255.0,34.0,3.0,9.0,0.0,0.0,2020-09-01 00:00:00,2020-10-01 00:00:00,Merged / Accepted,0.8703703703703703
152,25448,357571042,grimoirelab,MEMBER,chaoss,closed,2019-12-28 18:17:46,2020-02-24 14:29:30,2019,12,2020,2.0,chaoss:master,base,1388.1955555555555,57.84148148148148,1388.1708333333333,57.84045138888889,1388.1708333333333,57.84045138888889,2020-02-24 14:28:01,2020-02-24 14:28:01,0 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,,,1.0,,0.0,0.0,2019-12-01 00:00:00,2020-02-01 00:00:00,Merged / Accepted,1.0
153,25448,359257618,grimoirelab,CONTRIBUTOR,chaoss,closed,2020-01-04 23:55:54,2020-01-16 13:37:29,2020,01,2020,1.0,,,277.69305555555553,11.570543981481482,21.103055555555557,0.8792939814814815,21.103055555555557,0.8792939814814815,2020-01-05 21:02:05,2020-01-05 21:02:05,0 days 00:00:00.000000000,0.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,2020-01-01 00:00:00,2020-01-01 00:00:00,Merged / Accepted,0.8518518518518519
154,25448,450459698,grimoirelab,CONTRIBUTOR,chaoss,closed,2020-07-16 19:43:06,2020-07-26 09:27:53,2020,07,2020,7.0,chaoss:master,base,229.7463888888889,9.572766203703704,229.73333333333332,9.572222222222223,229.73333333333332,9.572222222222223,2020-07-26 09:27:06,2020-07-26 09:27:06,0 days 00:00:00.000000000,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,4347.0,120.0,2.0,40.0,0.0,0.0,2020-07-01 00:00:00,2020-07-01 00:00:00,Merged / Accepted,0.8148148148148148
158,25448,365607031,grimoirelab,NONE,chaoss,closed,2020-01-22 00:42:57,2020-02-04 15:15:00,2020,01,2020,2.0,,,326.5341666666667,13.605590277777777,0.05527777777777778,0.0023032407407407407,326.5341666666667,13.605590277777777,2020-01-22 00:46:16,2020-02-04 15:15:00,3 days 09:37:11.000000000,0.0,0.0,0.0,8.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,3.0,72.0,2020-01-01 00:00:00,2020-02-01 00:00:00,Not Merged / Rejected,0.8888888888888888
162,25448,356138303,grimoirelab,MEMBER,chaoss,closed,2019-12-23 00:51:55,2020-02-10 16:46:32,2019,12,2020,2.0,chaoss:master,base,1191.9102777777778,49.66292824074074,1191.9102777777778,49.66292824074074,1191.9102777777778,49.66292824074074,2020-02-10 16:46:32,2020-02-10 16:46:32,0 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,0.0,0.0,2019-12-01 00:00:00,2020-02-01 00:00:00,Not Merged / Rejected,0.9629629629629629
