"repo_id","records","answers","question","announcement","appreciation","elaboration","humor","agreement","disagreement","negative_reaction","message_total"
"26101","3","0","1","0","0","0","0","0","0","0","10"
"26097","2","0","0","1","0","0","0","0","0","0","10"
"26100","24","0.5417","0.375","0.0417","0","0.0417","0","0","0","0","10"
"25996","11","0.0909","0.5455","0.1818","0.0909","0","0.0909","0","0","0","10"
"25621","11","0.0909","0.2727","0.2727","0.0909","0.2727","0","0","0","0","11"
"25597","12","0.5","0.3333","0","0","0.1667","0","0","0","0","11"
"25770","6","0.1667","0.8333","0","0","0","0","0","0","0","11"
"25777","3","0.3333","0.3333","0.3333","0","0","0","0","0","0","11"
"26175","7","0.7143","0.1429","0.1429","0","0","0","0","0","0","10"
"26113","2","0","0.5","0","0","0.5","0","0","0","0","10"
"25830","11","0.5455","0.2727","0.0909","0","0.0909","0","0","0","0","11"
"25907","42","0.1905","0.2857","0.2143","0.1429","0.1667","0","0","0","0","10"
"25979","14","0.4286","0.4286","0.0714","0.0714","0","0","0","0","0","10"
"26015","6","0.1667","0.3333","0","0.1667","0.3333","0","0","0","0","10"
"25585","13","0.1538","0.6154","0","0.0769","0.1538","0","0","0","0","11"
"26046","9","0.2222","0.2222","0.5556","0","0","0","0","0","0","10"
"25601","51","0.3333","0.2745","0.0588","0.1569","0.1765","0","0","0","0","11"
"25706","132","0.4697","0.2955","0.0682","0.1061","0.0455","0","0.0152","0","0","11"
"25612","1","0","1","0","0","0","0","0","0","0","11"
"25625","4","0","0.25","0.25","0","0.25","0","0.25","0","0","11"
"25577","126","0.3095","0.373","0.2063","0","0.0873","0.0238","0","0","0","11"
"25769","1","0","0","0","0","0","0","1","0","0","11"
"25813","4","0.25","0.75","0","0","0","0","0","0","0","11"
"25968","7","0.1429","0.8571","0","0","0","0","0","0","0","10"
"26134","4","0.5","0.5","0","0","0","0","0","0","0","10"
"25712","5","0.4","0.4","0.2","0","0","0","0","0","0","11"
"25673","151","0.2517","0.0993","0.0927","0","0.5497","0.0066","0","0","0","11"
"25507","27","0.3704","0.5556","0.037","0","0.037","0","0","0","0","11"
"26067","102","0.5588","0.3922","0.0392","0","0.0098","0","0","0","0","10"
"25678","1","0","1","0","0","0","0","0","0","0","11"
"25471","32","0.3438","0.25","0.0938","0.3125","0","0","0","0","0","11"
"25660","63","0.4603","0.4444","0.0317","0.0317","0.0317","0","0","0","0","11"
"26005","10","0.1","0.6","0","0.2","0","0.1","0","0","0","10"
"26138","13","0.4615","0.3846","0.1538","0","0","0","0","0","0","10"
"25926","8","0.125","0.375","0","0.375","0","0","0","0","0.125","10"
"25780","9","0","1","0","0","0","0","0","0","0","11"
"26151","124","0.5887","0.1855","0.0323","0.0161","0.1452","0","0.0323","0","0","10"
"26045","1981","0.5583","0.4266","0.0086","0","0.0061","0.0005","0","0","0","10"
"25555","72","0.1806","0.1667","0.0417","0.0139","0.5833","0.0139","0","0","0","11"
"26108","70","0.3857","0.3143","0.0286","0","0.2714","0","0","0","0","10"
"25933","22","0.3636","0.3636","0.0455","0.0909","0.1364","0","0","0","0","10"
"25580","8","0.5","0.125","0.125","0","0.25","0","0","0","0","11"
"26057","212","0.4858","0.4953","0.0047","0","0.0094","0","0","0","0.0047","10"
"26160","1","0","0","1","0","0","0","0","0","0","10"
"25880","25","0.48","0.36","0.08","0.04","0.04","0","0","0","0","10"
"25553","10","0","1","0","0","0","0","0","0","0","11"
"25898","2","0","1","0","0","0","0","0","0","0","10"
"25459","6","0","0.1667","0","0.8333","0","0","0","0","0","11"
"25556","13","0.3846","0.3846","0.0769","0.0769","0.0769","0","0","0","0","11"
"26215","5","0.4","0.2","0","0.2","0.2","0","0","0","0","10"
"25934","19","0.3158","0.3158","0.1579","0.1053","0.1053","0","0","0","0","10"
"25961","2","0.5","0.5","0","0","0","0","0","0","0","10"
"25634","81","0.2346","0.1111","0.0494","0.0617","0.5432","0","0","0","0","11"
"25463","198","0.4697","0.2525","0.0556","0.1616","0.0505","0.0051","0.0051","0","0","11"
"25566","53","0.4717","0.3585","0.0377","0","0.1132","0.0189","0","0","0","11"
"26161","1","0","0","0","1","0","0","0","0","0","10"
"25969","3","0.6667","0.3333","0","0","0","0","0","0","0","10"
"25647","5","0","0.8","0","0","0.2","0","0","0","0","11"
"25963","1","0","0","1","0","0","0","0","0","0","10"
"25434","33","0.5455","0.3333","0.0606","0","0.0606","0","0","0","0","11"
"25435","99","0.5253","0.3434","0.0505","0.0404","0.0202","0","0.0202","0","0","11"
"26177","1","0","1","0","0","0","0","0","0","0","10"
"25640","30","0.1667","0.3333","0.1333","0.1","0.2667","0","0","0","0","11"
"26091","6","0.5","0.5","0","0","0","0","0","0","0","10"
"25782","3","0.6667","0.3333","0","0","0","0","0","0","0","11"
"25923","4","0.5","0.25","0","0","0.25","0","0","0","0","10"
"25672","31","0.4516","0.5161","0.0323","0","0","0","0","0","0","11"
"25796","2","0.5","0.5","0","0","0","0","0","0","0","11"
"26127","76","0.6974","0.1974","0.0526","0.0263","0.0263","0","0","0","0","10"
"26173","2","0.5","0.5","0","0","0","0","0","0","0","10"
"25984","3","0","1","0","0","0","0","0","0","0","10"
"25650","12","0","1","0","0","0","0","0","0","0","11"
"26044","2","0","0","0.5","0.5","0","0","0","0","0","10"
"25522","109","0.4037","0.2752","0.0459","0.1101","0.1101","0.0367","0","0","0.0183","11"
"25911","5","0.8","0.2","0","0","0","0","0","0","0","10"
"25683","4","0","0.75","0.25","0","0","0","0","0","0","11"
"25656","16","0.375","0.375","0.125","0","0.0625","0.0625","0","0","0","11"
"25959","1","0","0","0","1","0","0","0","0","0","10"
"26024","13","0","0.8462","0","0","0.1538","0","0","0","0","10"
"25552","2","1","0","0","0","0","0","0","0","0","11"
"25568","2","0","0","0.5","0","0.5","0","0","0","0","11"
"25704","27","0.2593","0.5926","0","0.037","0.037","0","0.037","0","0.037","11"
"25430","28","0.5","0.4643","0.0357","0","0","0","0","0","0","11"
"26093","373","0.4209","0.1528","0.0188","0","0.067","0.3405","0","0","0","10"
"25681","62","0.371","0.3226","0.0968","0.0645","0.1129","0.0161","0.0161","0","0","11"
"25710","1","0","1","0","0","0","0","0","0","0","11"
"25676","10","0.6","0.3","0","0.1","0","0","0","0","0","11"
"25954","442","0.2466","0.6131","0.0905","0.0136","0.0362","0","0","0","0","10"
"25688","3","0","1","0","0","0","0","0","0","0","11"
"25603","91","0.1978","0.1758","0.1099","0","0.5165","0","0","0","0","11"
"25594","1","0","1","0","0","0","0","0","0","0","11"
"25617","2","0.5","0.5","0","0","0","0","0","0","0","11"
"26153","28","0.3571","0.5357","0.0357","0","0.0357","0","0","0","0.0357","10"
"26129","4","0.25","0.5","0.25","0","0","0","0","0","0","10"
"25702","1","0","0","0","0","1","0","0","0","0","11"
"25600","19","0.1053","0.3158","0.3158","0","0.2632","0","0","0","0","11"
"25539","2","0","0","0","0.5","0.5","0","0","0","0","11"
"26054","1","0","0","1","0","0","0","0","0","0","10"
"26111","64","0.3594","0.2656","0.0625","0.2656","0.0469","0","0","0","0","10"
"25584","20","0.7","0.1","0.05","0.1","0.05","0","0","0","0","11"
"25767","47","0.6383","0.3404","0","0","0.0213","0","0","0","0","11"
"25900","79","0.443","0.3165","0.0759","0.0506","0.1139","0","0","0","0","10"
"25916","1","0","0","1","0","0","0","0","0","0","10"
"25476","28","0.4286","0.5357","0","0","0.0357","0","0","0","0","11"
"25513","9","0.1111","0.7778","0","0","0.1111","0","0","0","0","11"
"26022","1","0","0","0","1","0","0","0","0","0","10"
"25437","40","0.3","0.225","0.05","0.4","0.025","0","0","0","0","11"
"25611","22","0.5455","0.3182","0.0455","0.0455","0.0455","0","0","0","0","11"
"25982","3","0.3333","0.6667","0","0","0","0","0","0","0","10"
"25736","21","0.381","0.619","0","0","0","0","0","0","0","11"
"26112","1020","0.5863","0.1755","0.0431","0.001","0.1588","0.0333","0.001","0.001","0","10"
"25778","1","1","0","0","0","0","0","0","0","0","11"
"26109","2","0","0.5","0","0","0.5","0","0","0","0","10"
"25472","97","0.3299","0.2577","0.1031","0.2577","0.0515","0","0","0","0","11"
"26110","7","0.2857","0","0","0","0.7143","0","0","0","0","10"
"25562","3","0.3333","0.3333","0","0.3333","0","0","0","0","0","11"
"25560","2","0","0.5","0","0.5","0","0","0","0","0","11"
"25987","54","0.5","0.2222","0.0556","0","0.2222","0","0","0","0","10"
"26018","14","0","0.7857","0","0","0.2143","0","0","0","0","10"
"26120","6","0","0","0.1667","0","0.8333","0","0","0","0","10"
"26041","46","0.4783","0.3478","0.0652","0.0217","0.0652","0.0217","0","0","0","10"
"26152","64","0.7656","0.1563","0.0313","0.0156","0.0313","0","0","0","0","10"
"25596","12","0.5833","0.3333","0.0833","0","0","0","0","0","0","11"
"25868","2","0","1","0","0","0","0","0","0","0","11"
"26023","3","0","1","0","0","0","0","0","0","0","10"
"25664","7","0.1429","0.2857","0.1429","0","0.4286","0","0","0","0","11"
"26059","3","0.3333","0.3333","0.3333","0","0","0","0","0","0","10"
"26048","6","0.3333","0.1667","0.3333","0","0","0","0.1667","0","0","10"
"25436","76","0.1053","0.1447","0.0658","0.6579","0.0263","0","0","0","0","11"
"25517","27","0.2963","0.2963","0.1111","0.1481","0.1481","0","0","0","0","11"
"26080","15","0.6667","0.2","0","0","0.1333","0","0","0","0","10"
"25836","133","0.6241","0.203","0.0226","0","0.1128","0.0376","0","0","0","11"
"26130","89","0.6404","0.1461","0.0225","0.0225","0.1685","0","0","0","0","10"
"25748","5","0.4","0.6","0","0","0","0","0","0","0","11"
"25446","6","0.1667","0.1667","0.1667","0.3333","0.1667","0","0","0","0","11"
"25682","175","0.4","0.2114","0.0857","0.0229","0.2743","0.0057","0","0","0","11"
"25973","10","0.8","0.2","0","0","0","0","0","0","0","10"
"25665","4","0.5","0.5","0","0","0","0","0","0","0","11"
"25641","6","0.3333","0.6667","0","0","0","0","0","0","0","11"
"25972","16","0.0625","0","0","0","0.9375","0","0","0","0","10"
"25754","17","0.4706","0.2353","0","0.2353","0.0588","0","0","0","0","11"
"25807","2","0","0","0.5","0","0.5","0","0","0","0","12"
"26143","255","0.3882","0.3961","0.098","0.0078","0.1059","0","0.0039","0","0","10"
"26069","1","0","0","0","0","1","0","0","0","0","10"
"26121","3","0.3333","0.6667","0","0","0","0","0","0","0","10"
"26122","21","0.1429","0.7143","0.0952","0","0.0476","0","0","0","0","10"
"25532","2","0","1","0","0","0","0","0","0","0","11"
"26053","38","0.5","0.2895","0.0263","0","0.1316","0.0526","0","0","0","10"
"26150","18","0.0556","0.2222","0.5","0","0.1667","0.0556","0","0","0","10"
"25988","19","0.3684","0.1579","0.3158","0","0.1579","0","0","0","0","10"
"25801","2","0.5","0.5","0","0","0","0","0","0","0","11"
"25928","1","0","1","0","0","0","0","0","0","0","10"
"25730","1","1","0","0","0","0","0","0","0","0","11"
"26107","19","0.5789","0.3158","0","0.1053","0","0","0","0","0","10"
"25760","64","0.4844","0.3281","0.0313","0.0625","0.0781","0","0.0156","0","0","11"
"25636","44","0.5455","0.4318","0.0227","0","0","0","0","0","0","11"
