actor_id,actor_login,degree,gender
6697940,houndci-bot,1127,
42910462,golangcibot,794,
19940114,codacy-bot,625,
30008653,hound[bot],520,
36754821,codeclimate[bot],447,
980082,liggitt,443,
45469,ljharb,419,
3181692,MartinHjelmare,404,male
170270,sindresorhus,361,
331852,neolit123,338,
22591623,sftim,337,
243674,nicolas-grekas,326,
5220533,chrisburr,315,
855702,Centril,312,
953992,jreback,306,
1297909,nschonni,305,
1163175,smarterclayton,303,
439401,stof,298,
2584963,drashna,292,female
2642209,stephentoub,288,
1444314,balloob,286,
917931,BenTheElder,277,
320553,scopatz,261,
52195,mcollina,259,
609873,WillAyd,238,male
6668460,jkotas,238,
28888242,worldofpeace,235,
1312546,TomAugspurger,235,male
995707,OskarStark,235,male
6477701,HyukjinKwon,230,
822522,srowen,230,unisex
4701338,akien-mga,220,
235188,tedyu,216,male
1404810,SimenB,216,female
1980544,fxcoudert,215,
4781841,fauxpark,214,
78827,jnothman,214,
5595220,thockin,214,
6233452,derekwaynecarr,214,
330628,RalfJung,213,male
3709715,cclauss,210,
47313,fabpot,209,
96200,Mic92,209,male
37149781,kalexand-rh,209,
17426603,bjorn3,208,male
5234427,isuruf,208,
6385855,danmosemsft,205,
7673602,jonringer,205,
9700541,dongjoon-hyun,204,
4546722,brancz,204,
8225098,deads2k,203,
18669334,noroadsleft,202,
34150,ashb,201,male
12699319,andrewsykim,199,
64996,alexcrichton,197,
103023,kennytm,197,
469983,bgruening,197,
7882269,marcelotrevisani,195,
11063618,dbkinder,195,
95136,davidfowl,194,
657779,greg0ire,194,
20525370,Infinisil,193,
216080,nikic,188,female
647318,lavalamp,186,
3523016,yurishkuro,186,
12971179,mairaw,186,female
209920,wking,185,male
718899,Trott,184,
730123,sttts,184,
6305260,mattklein123,183,
4408379,lex111,183,male
21194782,timja,183,
7165771,pedrobaeza,183,
2129135,FRidh,180,
1408396,sharwell,179,
419821,pieh,179,male
425260,eric-wieser,179,
576341,soltysh,178,
1804568,thaJeztah,178,female
1120926,wardpeet,177,
705123,jtojnar,177,
24448061,msau42,177,
578543,webknjaz,175,
6527137,ahsonkhan,174,
915544,detiber,173,
59071,tchaikov,172,
3481311,abhinavdahiya,172,
73419,javiereguiluz,170,
623453,howardjohn,169,
16105680,nikhita,169,female
1957048,xabbuh,169,
7755101,aanderse,169,
10914751,htuch,168,
1484494,SMillerDev,168,
49258,spiffxp,167,
70274,xhochy,167,
155810,ekohl,167,male
7328370,stevekuznetsov,167,
16011037,stickler-ci,165,
2963726,0xc0170,164,
5106466,thymikee,163,
11748095,ExcessiveUseOfCobblestone,162,
899444,addaleax,162,
1506493,derrabus,162,
23304,dims,161,male
100893,justinsb,160,
169553,timothysc,160,
12292047,eps1lon,160,
7115638,brian-brazil,160,
332036,oli-obk,160,
195327,frenck,159,
183879,flokli,158,
3182036,cloud-fan,157,
10743879,wojtek-t,157,
3269376,mattjmcnaughton,155,
5781356,felixfontein,154,
194609,bcoe,154,
3000480,oleg-nenashev,154,
950575,ocefpaf,153,
4564579,CyrusNajmabadi,152,male
1431969,cblecker,152,
3165635,oliviertassinari,151,
8291187,eerhardt,151,male
19036,matthewbauer,150,
10642668,bartonjs,150,
1279749,gsmet,150,
20448157,klaasnicolaas,149,
154109,jglick,149,
1810591,asottile,149,
12021217,adamjstewart,149,
5061,alextp,148,
62991,mattfarina,148,
98330,rgommers,148,
1020496,jorisvandenbossche,148,
904614,gnzlbg,147,
3019665,jakirkham,147,
12058428,mik-laj,147,
15225902,lzutao,146,
1787169,mikedanese,146,
8918108,ericstj,145,
154256,Ocramius,145,
9582,josevalim,144,
2829600,GrahamCampbell,144,male
10487869,tannergooding,143,
1335366,dirk-thomas,143,
47848,rafaelfranca,142,
17664321,nikul-serpentcs,142,
4567934,evilebottnawi,142,
5296416,beckermr,141,
1696019,kbhawkey,141,
4115580,cpanato,141,
