,repo_id,pr_src_id,repo_name,pr_src_author_association,repo_group,pr_src_state,pr_created_at,pr_closed_at,created_year,created_month,closed_year,closed_month,pr_src_meta_label,pr_head_or_base,hours_to_close,days_to_close,hours_to_first_response,days_to_first_response,hours_to_last_response,days_to_last_response,first_response_time,last_response_time,average_time_between_responses,assigned_count,review_requested_count,labeled_count,subscribed_count,mentioned_count,referenced_count,closed_count,head_ref_force_pushed_count,merged_count,milestoned_count,unlabeled_count,head_ref_deleted_count,comment_count,lines_added,lines_removed,commit_count,file_count,average_days_between_responses,average_hours_between_responses,created_yearmonth,closed_yearmonth,merged_flag,percentile_rank_local
6,25448,199794850,grimoirelab,MEMBER,chaoss,closed,2018-07-06 16:34:58,2018-08-23 10:02:00,2018,07,2018,8.0,chaoss:master,base,1145.45055555556,47.7271064814815,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2018-07-01 00:00:00,2018-08-01 00:00:00,Merged / Accepted,0.9552238805970149
10,25448,206317720,grimoirelab,MEMBER,chaoss,closed,2018-08-06 07:58:56,2018-08-23 10:09:05,2018,08,2018,8.0,chaoss:master,base,410.169166666667,17.0903819444444,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2018-08-01 00:00:00,2018-08-01 00:00:00,Merged / Accepted,0.9029850746268657
22,25448,240158854,grimoirelab,CONTRIBUTOR,chaoss,closed,2018-12-20 12:46:58,2019-01-07 21:37:42,2018,12,2019,1.0,chaoss:master,base,440.845555555556,18.3685648148148,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2018-12-01 00:00:00,2019-01-01 00:00:00,Merged / Accepted,0.9104477611940298
23,25448,243081224,grimoirelab,MEMBER,chaoss,closed,2019-01-08 19:04:31,2019-01-18 18:44:32,2019,01,2019,1.0,,,239.666944444444,9.98612268518518,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-01 00:00:00,2019-01-01 00:00:00,Merged / Accepted,0.8507462686567164
28,25448,255358778,grimoirelab,MEMBER,chaoss,closed,2019-02-22 11:14:57,2019-03-05 11:47:50,2019,02,2019,3.0,chaoss:master,base,264.548055555556,11.0228356481481,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2019-02-01 00:00:00,2019-03-01 00:00:00,Merged / Accepted,0.8582089552238806
30,25448,266147979,grimoirelab,MEMBER,chaoss,closed,2019-04-01 08:54:08,2019-05-23 07:35:11,2019,04,2019,5.0,chaoss:master,base,1246.68416666667,51.9451736111111,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2019-04-01 00:00:00,2019-05-01 00:00:00,Merged / Accepted,0.9850746268656716
35,25448,308760129,grimoirelab,MEMBER,chaoss,closed,2019-08-19 20:01:18,2019-09-11 09:32:45,2019,08,2019,9.0,chaoss:master,base,541.524166666667,22.5635069444444,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2019-08-01 00:00:00,2019-09-01 00:00:00,Merged / Accepted,0.917910447761194
43,25448,346800015,grimoirelab,MEMBER,chaoss,closed,2019-11-28 17:57:14,2019-12-04 08:32:13,2019,11,2019,12.0,chaoss:master,base,134.583055555556,5.60762731481482,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2019-11-01 00:00:00,2019-12-01 00:00:00,Merged / Accepted,0.8134328358208955
47,25448,355401820,grimoirelab,MEMBER,chaoss,closed,2019-12-19 22:38:43,2020-01-25 10:01:08,2019,12,2020,1.0,chaoss:master,base,875.373611111111,36.473900462963,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2019-12-01 00:00:00,2020-01-01 00:00:00,Merged / Accepted,0.9328358208955224
48,25448,355402007,grimoirelab,MEMBER,chaoss,closed,2019-12-19 22:39:01,2020-01-25 10:00:57,2019,12,2020,1.0,,,875.365555555556,36.4735648148148,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-01 00:00:00,2020-01-01 00:00:00,Merged / Accepted,0.9253731343283582
80,25448,170456266,grimoirelab,MEMBER,chaoss,closed,2018-02-21 12:29:06,2018-03-02 20:30:15,2018,02,2018,3.0,chaoss:master,base,224.019166666667,9.33413194444444,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2018-02-01 00:00:00,2018-03-01 00:00:00,Merged / Accepted,0.835820895522388
81,25448,170457738,grimoirelab,MEMBER,chaoss,closed,2018-02-21 12:36:25,2018-03-02 20:30:36,2018,02,2018,3.0,,,223.903055555556,9.32929398148148,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-01 00:00:00,2018-03-01 00:00:00,Merged / Accepted,0.8283582089552238
109,25448,334530507,grimoirelab,MEMBER,chaoss,closed,2019-10-30 21:37:16,2019-12-16 06:57:23,2019,10,2019,12.0,chaoss:master,base,1113.33527777778,46.3889699074074,779.251111111111,32.4687962962963,948.277777777778,39.5115740740741,2019-12-02 08:52:20,2019-12-09 09:53:56,0 days 09:23:25.333333000,0.0,18.0,0.0,90.0,90.0,72.0,18.0,18.0,18.0,0.0,0.0,0.0,18.0,,,3.0,,0.0,0.0,2019-10-01 00:00:00,2019-12-01 00:00:00,Merged / Accepted,0.9477611940298507
